% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1plstc_S21,im:cap1_copo2_0_1plstc_S21,re:cap1_copo2_0_5plstc_S21,im:cap1_copo2_0_5plstc_S21,re:cap1_copo2_0_75plstc_S21,im:cap1_copo2_0_75plstc_S21,re:cap1_copo2_1plstc_S21,im:cap1_copo2_1plstc_S21,
1.270000000000000E+009,-5.115578770637512E-001,-8.274406790733337E-001,-5.104904430759913E-001,-8.277904185573837E-001,-5.128324290619798E-001,-8.268684746084711E-001,-5.124374919944167E-001,-8.267284164828020E-001,-5.116266744664968E-001,-8.271805050304315E-001,
1.275000000000000E+009,-5.180460214614868E-001,-8.227149844169617E-001,-5.168779685824079E-001,-8.233158607021265E-001,-5.192943303027344E-001,-8.223086904442323E-001,-5.188656954746664E-001,-8.221875300799406E-001,-5.180653027484048E-001,-8.227009521589895E-001,
1.280000000000000E+009,-5.245041847229004E-001,-8.182402253150940E-001,-5.235265177510001E-001,-8.187922876451147E-001,-5.259054099170173E-001,-8.177699357884652E-001,-5.254550245087705E-001,-8.176329873330838E-001,-5.247232663844705E-001,-8.182083268736315E-001,
1.285000000000000E+009,-5.312961339950562E-001,-8.139551281929016E-001,-5.301842616264416E-001,-8.145708996402975E-001,-5.326054243934322E-001,-8.134452475584099E-001,-5.321594912351516E-001,-8.133614998783729E-001,-5.313510508521754E-001,-8.138432853657515E-001,
1.290000000000000E+009,-5.379680991172791E-001,-8.091486096382141E-001,-5.369727715732691E-001,-8.097514770733658E-001,-5.393515958573045E-001,-8.086003737663463E-001,-5.388854612886471E-001,-8.085146153270993E-001,-5.381845465048569E-001,-8.090603419028443E-001,
1.295000000000000E+009,-5.441769957542419E-001,-8.042664527893066E-001,-5.430963627138594E-001,-8.050825740636077E-001,-5.455042619166823E-001,-8.038930870131105E-001,-5.450781074764051E-001,-8.037690827818189E-001,-5.442419948274833E-001,-8.042896325534776E-001,
1.300000000000000E+009,-5.506414175033569E-001,-7.992618083953857E-001,-5.496939021400900E-001,-8.000176486467282E-001,-5.520209771886140E-001,-7.988318687906325E-001,-5.515738998635396E-001,-7.986994264793977E-001,-5.508463140636091E-001,-7.992847427340442E-001,
1.305000000000000E+009,-5.565165281295776E-001,-7.946099638938904E-001,-5.553345602558516E-001,-7.953707807921340E-001,-5.577885726212010E-001,-7.940715197903352E-001,-5.573484254876872E-001,-7.940270455204879E-001,-5.565765346155689E-001,-7.945918458109009E-001,
1.310000000000000E+009,-5.627744197845459E-001,-7.898288965225220E-001,-5.615808019775059E-001,-7.906866200479294E-001,-5.640878338643142E-001,-7.893484182018100E-001,-5.635719709146307E-001,-7.892556592863056E-001,-5.628305816806282E-001,-7.898225576559438E-001,
1.315000000000000E+009,-5.685768127441406E-001,-7.851191163063049E-001,-5.672511624724781E-001,-7.859913629362523E-001,-5.697542659146061E-001,-7.846130407646722E-001,-5.692908443760747E-001,-7.845211365395737E-001,-5.685424855021474E-001,-7.851389409601457E-001,
1.320000000000000E+009,-5.749183893203735E-001,-7.808623909950256E-001,-5.737347180157640E-001,-7.816576815792260E-001,-5.762401846217778E-001,-7.801972097911715E-001,-5.757522198444525E-001,-7.801021265507204E-001,-5.750117028470013E-001,-7.807432550364482E-001,
1.325000000000000E+009,-5.813689231872559E-001,-7.759440541267395E-001,-5.800430913822956E-001,-7.770152537399111E-001,-5.826123839104546E-001,-7.754662533905036E-001,-5.820994011234890E-001,-7.753922361145188E-001,-5.813821967040433E-001,-7.760359021912698E-001,
1.330000000000000E+009,-5.877345204353333E-001,-7.714615464210510E-001,-5.864020511230536E-001,-7.724353229826643E-001,-5.889941721858381E-001,-7.708572887695465E-001,-5.884997391164841E-001,-7.707870793317756E-001,-5.877662177983153E-001,-7.713930969478334E-001,
1.335000000000000E+009,-5.935599207878113E-001,-7.666807770729065E-001,-5.922328074003459E-001,-7.675807118869518E-001,-5.948594426372977E-001,-7.659534056607835E-001,-5.943844077556316E-001,-7.659177990615881E-001,-5.936420291807801E-001,-7.665029306611357E-001,
1.340000000000000E+009,-5.999934077262878E-001,-7.614632844924927E-001,-5.985564383538946E-001,-7.625631396508873E-001,-6.011978378058458E-001,-7.608083222373868E-001,-6.007157213506297E-001,-7.608209013645449E-001,-6.000567307528721E-001,-7.615112886001080E-001,
1.345000000000000E+009,-6.061037182807922E-001,-7.564428448677063E-001,-6.047285823593175E-001,-7.577318651077727E-001,-6.074241973131354E-001,-7.558911299696998E-001,-6.069646966139359E-001,-7.558066018868549E-001,-6.062893766928940E-001,-7.564827708972259E-001,
1.350000000000000E+009,-6.123127341270447E-001,-7.519943118095398E-001,-6.106518231045290E-001,-7.532666358671510E-001,-6.135042485985526E-001,-7.512546004370714E-001,-6.130507613927275E-001,-7.512864900138739E-001,-6.123907029150031E-001,-7.519493808442533E-001,
1.355000000000000E+009,-6.176987886428833E-001,-7.473772168159485E-001,-6.161878703659394E-001,-7.487818605593227E-001,-6.190044200457102E-001,-7.467042235346185E-001,-6.184879907365959E-001,-7.466627330149402E-001,-6.178195116106923E-001,-7.473022347496695E-001,
1.360000000000000E+009,-6.243247985839844E-001,-7.419977188110352E-001,-6.227234000671373E-001,-7.435788437115374E-001,-6.255761700720528E-001,-7.413685638457646E-001,-6.251670997110048E-001,-7.412613934658341E-001,-6.244793644181673E-001,-7.418905890356795E-001,
1.365000000000000E+009,-6.311162114143372E-001,-7.373834252357483E-001,-6.293212451282015E-001,-7.391021460422156E-001,-6.323264051804847E-001,-7.367045738561056E-001,-6.318462404422619E-001,-7.366028187314679E-001,-6.311933332297973E-001,-7.372725119721417E-001,
1.370000000000000E+009,-6.376501917839050E-001,-7.316778898239136E-001,-6.359104935161315E-001,-7.335278254915623E-001,-6.388992015164059E-001,-7.309929146335962E-001,-6.383417871494619E-001,-7.308925022387846E-001,-6.377266622051274E-001,-7.315365638329668E-001,
1.375000000000000E+009,-6.441712379455566E-001,-7.260782122612000E-001,-6.423617168167530E-001,-7.282807345098292E-001,-6.454066153075128E-001,-7.254332571570932E-001,-6.450476967385360E-001,-7.253839322164986E-001,-6.443115838628677E-001,-7.260528471213497E-001,
1.380000000000000E+009,-6.502400040626526E-001,-7.194575667381287E-001,-6.483746600236536E-001,-7.219286651717580E-001,-6.514494571828112E-001,-7.188801475847790E-001,-6.510252778456815E-001,-7.188557084517845E-001,-6.503267343737880E-001,-7.194486357685881E-001,
1.385000000000000E+009,-6.563846468925476E-001,-7.133069634437561E-001,-6.545318289446868E-001,-7.159561450522097E-001,-6.576959472699006E-001,-7.126856597687494E-001,-6.571329550927398E-001,-7.126079570583487E-001,-6.565803704602582E-001,-7.131944918922247E-001,
1.390000000000000E+009,-6.629682183265686E-001,-7.068530917167664E-001,-6.609713519065092E-001,-7.097904972608525E-001,-6.642143442696437E-001,-7.062612859106103E-001,-6.636795250350496E-001,-7.061636359735543E-001,-6.630499737874990E-001,-7.067409202493289E-001,
1.395000000000000E+009,-6.692524552345276E-001,-7.001275420188904E-001,-6.674081877704947E-001,-7.034464241404401E-001,-6.706176812982387E-001,-6.995495664375887E-001,-6.701034316429115E-001,-6.994896057510223E-001,-6.694168052654527E-001,-7.000110710755447E-001,
1.400000000000000E+009,-6.755515336990356E-001,-6.929410099983215E-001,-6.735203758896631E-001,-6.966703439664168E-001,-6.767962863160248E-001,-6.924635083892077E-001,-6.762842504467658E-001,-6.923680645336163E-001,-6.755701862273150E-001,-6.928424769489174E-001,
1.405000000000000E+009,-6.815878748893738E-001,-6.866931319236755E-001,-6.797232406888276E-001,-6.908696255681386E-001,-6.829636275786607E-001,-6.862222698412767E-001,-6.824518420603831E-001,-6.861905927546392E-001,-6.816623246590301E-001,-6.866404615228428E-001,
1.410000000000000E+009,-6.883659958839417E-001,-6.798368692398071E-001,-6.865979826038295E-001,-6.846120473868302E-001,-6.897017643647455E-001,-6.794351523767332E-001,-6.891623086377070E-001,-6.793753547363557E-001,-6.883636030570950E-001,-6.797266576102561E-001,
1.415000000000000E+009,-6.939854025840759E-001,-6.725310087203980E-001,-6.922267464771171E-001,-6.779414774760808E-001,-6.952886843238011E-001,-6.721448223590382E-001,-6.948268106888470E-001,-6.721055758380718E-001,-6.939201161258928E-001,-6.723892984285408E-001,
1.420000000000000E+009,-7.000887393951416E-001,-6.651765108108521E-001,-6.987424732296511E-001,-6.712169353761850E-001,-7.016193929573876E-001,-6.648058979611722E-001,-7.010264361406424E-001,-6.647419639338186E-001,-6.999363462580769E-001,-6.649453478644538E-001,
1.425000000000000E+009,-7.047386765480042E-001,-6.576299667358398E-001,-7.039424220379620E-001,-6.646864637580494E-001,-7.063481862880632E-001,-6.574695134777280E-001,-7.059054021806018E-001,-6.573891458185781E-001,-7.045910170051504E-001,-6.574504640115289E-001,
1.430000000000000E+009,-7.097165584564209E-001,-6.506446003913879E-001,-7.099335789657509E-001,-6.586300356283533E-001,-7.117789398239497E-001,-6.503764149940050E-001,-7.112658118658317E-001,-6.503415610189535E-001,-7.096111261683392E-001,-6.503803440189253E-001,
1.435000000000000E+009,-7.141387462615967E-001,-6.431522369384766E-001,-7.156440972642754E-001,-6.520671610280473E-001,-7.164910022031237E-001,-6.428474128512497E-001,-7.159799665012014E-001,-6.427795661099899E-001,-7.137096647694659E-001,-6.430074285982235E-001,
1.440000000000000E+009,-7.170991897583008E-001,-6.361010670661926E-001,-7.206713320936277E-001,-6.455560324505313E-001,-7.199775148220859E-001,-6.354708876464987E-001,-7.194957724004036E-001,-6.352772829575555E-001,-7.167300525182503E-001,-6.360680640118333E-001,
1.445000000000000E+009,-7.200325131416321E-001,-6.304207444190979E-001,-7.260356053049615E-001,-6.394583448667721E-001,-7.233720669142418E-001,-6.289528371204514E-001,-7.227714036429946E-001,-6.287243504622971E-001,-7.195744537560451E-001,-6.304628802074002E-001,
1.450000000000000E+009,-7.233848571777344E-001,-6.251542568206787E-001,-7.317446241348301E-001,-6.328204873596832E-001,-7.265767884791353E-001,-6.227696000180878E-001,-7.259578456580418E-001,-6.224783676920280E-001,-7.231304917918726E-001,-6.254482353774643E-001,
1.455000000000000E+009,-7.272275686264038E-001,-6.208376288414002E-001,-7.370600307542419E-001,-6.262479574021532E-001,-7.297256983866496E-001,-6.175711605928663E-001,-7.289141522192645E-001,-6.173223374988958E-001,-7.271292657703286E-001,-6.211158911786037E-001,
1.460000000000000E+009,-7.311443686485291E-001,-6.176555156707764E-001,-7.412051776557456E-001,-6.207288707758145E-001,-7.324974420371634E-001,-6.142678571183112E-001,-7.315504395221580E-001,-6.140468483838604E-001,-7.311291717719045E-001,-6.178996053684304E-001,
