% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_5leite_desnato_S21,im:cap1_copo2_0_5leite_desnato_S21,re:cap1_copo2_0_5leite_semi_desnato_S21,im:cap1_copo2_0_5leite_semi_desnato_S21,re:cap1_copo2_0_5leite_integral_S21,im:cap1_copo2_0_5leite_integral_S21,
1.330000000000000E+009,-5.863691849587075E-001,-7.735609474152969E-001,-5.862199933529282E-001,-7.720861054556889E-001,-5.845986864280701E-001,-7.744139276123049E-001,-5.863418184450642E-001,-7.735041935073195E-001,
1.335000000000000E+009,-5.923807436062462E-001,-7.688207637809121E-001,-5.922051359094902E-001,-7.673734060017128E-001,-5.906714472961426E-001,-7.696695636558533E-001,-5.924186011268072E-001,-7.688165785491485E-001,
1.340000000000000E+009,-5.990299556888641E-001,-7.639085857158781E-001,-5.988093284699959E-001,-7.623980165757397E-001,-5.972489284057618E-001,-7.647594536781314E-001,-5.989876384880745E-001,-7.638431762571180E-001,
1.345000000000000E+009,-6.053626541071975E-001,-7.588985626649809E-001,-6.052380739572401E-001,-7.574000017215716E-001,-6.036893023986818E-001,-7.598266518516543E-001,-6.053959658639777E-001,-7.588946194844891E-001,
1.350000000000000E+009,-6.115456740358409E-001,-7.542044236274551E-001,-6.113434006621794E-001,-7.527479042601747E-001,-6.098286331443786E-001,-7.552299270019534E-001,-6.116302510378751E-001,-7.542585835506027E-001,
1.355000000000000E+009,-6.171236760479587E-001,-7.495865035991591E-001,-6.168250331444961E-001,-7.479979378951140E-001,-6.154314421806336E-001,-7.505123248405460E-001,-6.171078686544279E-001,-7.494901800799920E-001,
1.360000000000000E+009,-6.236065231568573E-001,-7.442318181298246E-001,-6.234125988231201E-001,-7.426421954971856E-001,-6.218657322311403E-001,-7.451444310035706E-001,-6.237322783644450E-001,-7.441440800531347E-001,
1.365000000000000E+009,-6.303164416338534E-001,-7.395458776096985E-001,-6.300030260367152E-001,-7.380174547876571E-001,-6.286209832534792E-001,-7.405494351272584E-001,-6.303219007429057E-001,-7.395090810605302E-001,
1.370000000000000E+009,-6.367470633856974E-001,-7.339353597381549E-001,-6.365431352890348E-001,-7.322833018322421E-001,-6.351135342674257E-001,-7.349024389190676E-001,-6.367562243255489E-001,-7.338450906847647E-001,
1.375000000000000E+009,-6.433270925127100E-001,-7.285110657180359E-001,-6.429648496249473E-001,-7.269328023131794E-001,-6.415820020980836E-001,-7.295643230972291E-001,-6.433182004136271E-001,-7.284371357799639E-001,
