% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:pl_1_S21,im:pl_1_S21,
2.028720000000000E+009,-9.241159558296204E-001,2.600193619728088E-001,-9.241046256637575E-001,2.599040244865418E-001,
2.029680000000000E+009,-9.235522747039795E-001,2.615770697593689E-001,-9.235995629882814E-001,2.615455694007874E-001,
2.030640000000000E+009,-9.231452941894531E-001,2.629854977130890E-001,-9.231326747322085E-001,2.631285154533387E-001,
2.031600000000000E+009,-9.226521253585815E-001,2.646746635437012E-001,-9.227306401252748E-001,2.647466091442108E-001,
2.032560000000000E+009,-9.221063852310181E-001,2.663625180721283E-001,-9.223200988197329E-001,2.664937036514283E-001,
2.033520000000000E+009,-9.216253757476807E-001,2.679469585418701E-001,-9.217593052864077E-001,2.680680376052856E-001,
2.034480000000000E+009,-9.212697744369507E-001,2.696309983730316E-001,-9.214109547996523E-001,2.696356870079041E-001,
2.035440000000000E+009,-9.209256768226624E-001,2.712312936782837E-001,-9.209545376205446E-001,2.711819515800477E-001,
2.036400000000000E+009,-9.202770590782166E-001,2.728417813777924E-001,-9.204099291419986E-001,2.729292393875122E-001,
2.037360000000000E+009,-9.198788404464722E-001,2.743671238422394E-001,-9.198588461875918E-001,2.747194543933869E-001,
2.038320000000000E+009,-9.194252490997315E-001,2.763567864894867E-001,-9.194129456138613E-001,2.762992977237702E-001,
2.039280000000000E+009,-9.187845587730408E-001,2.779589593410492E-001,-9.188002129173282E-001,2.779405287361145E-001,
2.040240000000000E+009,-9.183844327926636E-001,2.795743644237518E-001,-9.183151857948306E-001,2.797783432292939E-001,
2.041200000000000E+009,-9.178176522254944E-001,2.811854779720306E-001,-9.177831253433230E-001,2.814795311069488E-001,
2.042160000000000E+009,-9.170826077461243E-001,2.828732430934906E-001,-9.173030978775026E-001,2.831182765483857E-001,
2.043120000000000E+009,-9.168004393577576E-001,2.847634553909302E-001,-9.166975577354434E-001,2.848492568206787E-001,
2.044080000000000E+009,-9.160968065261841E-001,2.867625653743744E-001,-9.161698600959780E-001,2.866668462848663E-001,
2.045040000000000E+009,-9.154815077781677E-001,2.882070243358612E-001,-9.155418104934693E-001,2.884149055671692E-001,
2.046000000000000E+009,-9.146888852119446E-001,2.899296879768372E-001,-9.149110456466677E-001,2.901248357486725E-001,
2.046960000000000E+009,-9.143642187118530E-001,2.917135357856751E-001,-9.142972270011904E-001,2.919842380809785E-001,
2.047920000000000E+009,-9.137268066406250E-001,2.935819625854492E-001,-9.136937596702579E-001,2.937857756996156E-001,
2.048880000000000E+009,-9.130014777183533E-001,2.952482998371124E-001,-9.129942901611329E-001,2.955651463794709E-001,
2.049840000000000E+009,-9.122734069824219E-001,2.970943748950958E-001,-9.123685695648195E-001,2.973410826015472E-001,
2.050800000000000E+009,-9.115908145904541E-001,2.991198897361755E-001,-9.116347986030581E-001,2.991874360466004E-001,
2.051760000000000E+009,-9.108504056930542E-001,3.011135458946228E-001,-9.109662335586550E-001,3.012966293144226E-001,
2.052720000000000E+009,-9.100061058998108E-001,3.028575479984283E-001,-9.101549625015262E-001,3.032108422088624E-001,
2.053680000000000E+009,-9.095361232757568E-001,3.050723969936371E-001,-9.094296779251100E-001,3.052254721832275E-001,
2.054640000000000E+009,-9.087243080139160E-001,3.069950938224793E-001,-9.086937847137454E-001,3.071779039859772E-001,
