% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap3_copo1_air_S21,im:cap3_copo1_air_S21,re:cap3_copo1_water_S21,im:cap3_copo1_water_S21,re:cap3_copo1_0_1plstc_S21,im:cap3_copo1_0_1plstc_S21,re:cap3_copo1_0_5plstc_S21,im:cap3_copo1_0_5plstc_S21,re:cap3_copo1_1plstc_S21,im:cap3_copo1_1plstc_S21,
1.200000000000000E+009,-4.021282792091370E-001,-8.851340413093567E-001,-3.723279356110841E-001,-8.922761457938540E-001,-4.014074032118015E-001,-8.848579434355903E-001,-4.020408419641224E-001,-8.848974959935256E-001,-4.022157948970795E-001,-8.849449759483338E-001,-4.022200811564961E-001,-8.849123647494688E-001,
1.205000000000000E+009,-4.096064567565918E-001,-8.820916414260864E-001,-3.810570759449770E-001,-8.891838953407900E-001,-4.087847023608624E-001,-8.818186171795879E-001,-4.093874155249102E-001,-8.818752201146664E-001,-4.095427979469300E-001,-8.819365167617800E-001,-4.096121827136442E-001,-8.819073806966187E-001,
1.210000000000000E+009,-4.175374209880829E-001,-8.783279061317444E-001,-3.902595770552827E-001,-8.854483210926211E-001,-4.166853344790338E-001,-8.781561456995390E-001,-4.172732622521366E-001,-8.781949332764016E-001,-4.174963231086731E-001,-8.782125369071963E-001,-4.175066436604155E-001,-8.782302278345642E-001,
1.215000000000000E+009,-4.251237213611603E-001,-8.748123049736023E-001,-3.991951763451386E-001,-8.819133470735476E-001,-4.244181606871492E-001,-8.746664334429866E-001,-4.249830536690162E-001,-8.746750327082944E-001,-4.251903800010682E-001,-8.747822264671327E-001,-4.251259720024888E-001,-8.746946500079260E-001,
1.220000000000000E+009,-4.325582981109619E-001,-8.709303736686707E-001,-4.075167240768586E-001,-8.779528456250613E-001,-4.317138251772631E-001,-8.706746436181547E-001,-4.322629868230281E-001,-8.706676254626097E-001,-4.324229139328004E-001,-8.707286787033083E-001,-4.324525294049029E-001,-8.706972998247968E-001,
1.225000000000000E+009,-4.405396878719330E-001,-8.670149445533752E-001,-4.165744053924868E-001,-8.741918698281863E-001,-4.397487192066369E-001,-8.669248427983318E-001,-4.403653082947020E-001,-8.669696839058038E-001,-4.405491609573365E-001,-8.669736779212954E-001,-4.406095610816493E-001,-8.670473359485748E-001,
1.230000000000000E+009,-4.482134282588959E-001,-8.627111911773682E-001,-4.251212839899599E-001,-8.698374208467409E-001,-4.473320904137354E-001,-8.626099954207976E-001,-4.479965264811848E-001,-8.626028367715464E-001,-4.482112143039704E-001,-8.626232494354250E-001,-4.482037442756056E-001,-8.627242082720803E-001,
1.235000000000000E+009,-4.560296833515167E-001,-8.588851094245911E-001,-4.337163876546937E-001,-8.658583123673403E-001,-4.551382587656550E-001,-8.586342793832947E-001,-4.557118996199062E-001,-8.586064264707184E-001,-4.559262140274049E-001,-8.586681563377382E-001,-4.560294647259126E-001,-8.587296291228903E-001,
1.240000000000000E+009,-4.638728797435761E-001,-8.542093038558960E-001,-4.424640795755311E-001,-8.611561363939516E-001,-4.630739813277671E-001,-8.540134861546295E-001,-4.636773239882339E-001,-8.540001519139894E-001,-4.638508715152742E-001,-8.540363677978518E-001,-4.638940483337777E-001,-8.540972787339521E-001,
1.245000000000000E+009,-4.719924032688141E-001,-8.499542474746704E-001,-4.512164470901643E-001,-8.569661744936830E-001,-4.711209940406417E-001,-8.498758107048238E-001,-4.717309730350075E-001,-8.497776294970787E-001,-4.719346312522889E-001,-8.498454174995423E-001,-4.719770739922868E-001,-8.498957743852750E-001,
