% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap3_duto1_air_S21,im:Cap3_duto1_air_S21,re:Cap3_duto1_air_water1_S21,im:Cap3_duto1_air_water1_S21,re:Cap3_duto1_1plstc_S21,im:Cap3_duto1_1plstc_S21,re:Cap3_duto1_0_1plstc_S21,im:Cap3_duto1_0_1plstc_S21,re:Cap3_duto1_0_5plstc_S21,im:Cap3_duto1_0_5plstc_S21,
1.170000000000000E+009,-3.302940153126072E-001,-9.092697456263148E-001,-3.213340706432343E-001,-9.101566939585879E-001,-3.301044978373393E-001,-9.095076557515076E-001,-3.303923827085709E-001,-9.093488718943016E-001,-3.302887983122814E-001,-9.093903288137983E-001,-3.301742985238061E-001,-9.092643993529649E-001,
1.175000000000000E+009,-3.401482274490773E-001,-9.068331635715986E-001,-3.319545083537293E-001,-9.078161061408998E-001,-3.399677570093674E-001,-9.070865211318342E-001,-3.402047631575288E-001,-9.068593594178480E-001,-3.401339455787647E-001,-9.069543929031364E-001,-3.400785833293821E-001,-9.068233013340175E-001,
1.180000000000000E+009,-3.488496309652157E-001,-9.041800455122918E-001,-3.413152940145875E-001,-9.052561825077822E-001,-3.486522507922464E-001,-9.044449937268202E-001,-3.488173285694745E-001,-9.041946520620605E-001,-3.487559044332192E-001,-9.042773619132631E-001,-3.487303366199037E-001,-9.041373160592542E-001,
1.185000000000000E+009,-3.580924470268183E-001,-9.004564985501115E-001,-3.512151486013795E-001,-9.015969373953250E-001,-3.579040119349958E-001,-9.007270224402777E-001,-3.581423875172388E-001,-9.004852630935716E-001,-3.580882245173638E-001,-9.005360286643791E-001,-3.580742739438564E-001,-9.005028599791949E-001,
1.190000000000000E+009,-3.664718843599559E-001,-8.971697896580338E-001,-3.600396039599610E-001,-8.983366620463564E-001,-3.663228657405673E-001,-8.974433135161566E-001,-3.664960169579200E-001,-8.971351234672541E-001,-3.664197056497222E-001,-8.972292580948258E-001,-3.664102091340669E-001,-8.971374358115043E-001,
1.195000000000000E+009,-3.752272279544888E-001,-8.935746968395011E-001,-3.692395703856660E-001,-8.948228596363833E-001,-3.750951329222070E-001,-8.938347243868271E-001,-3.752441178517568E-001,-8.935716081591045E-001,-3.751904320698751E-001,-8.936816870532103E-001,-3.751902411139109E-001,-8.935276029125420E-001,
1.200000000000000E+009,-3.840912166596072E-001,-8.905470445611537E-001,-3.785151950024415E-001,-8.918350921083071E-001,-3.839104042274114E-001,-8.907932205765633E-001,-3.840503813407685E-001,-8.905612123073404E-001,-3.840336608890956E-001,-8.906330262381563E-001,-3.840061104096397E-001,-8.905345996397034E-001,
1.205000000000000E+009,-3.920843015124554E-001,-8.875115528986362E-001,-3.869101547547150E-001,-8.888166499696353E-001,-3.919715120649120E-001,-8.878375684171064E-001,-3.921306152066675E-001,-8.876078913369452E-001,-3.921200988420878E-001,-8.876477781662280E-001,-3.920628143821319E-001,-8.875737537406364E-001,
1.210000000000000E+009,-4.006834890080996E-001,-8.838280428518216E-001,-3.957963799608613E-001,-8.851779088105777E-001,-4.005392593067685E-001,-8.841978262933119E-001,-4.007102987790522E-001,-8.839333122942572E-001,-4.006484511083489E-001,-8.839831328119798E-001,-4.006523689624718E-001,-8.839009623262325E-001,
1.215000000000000E+009,-4.090327173355478E-001,-8.804186481616229E-001,-4.045040609305574E-001,-8.818814580427553E-001,-4.089022770794472E-001,-8.807964568039839E-001,-4.091419891671559E-001,-8.805470596712681E-001,-4.089852666957719E-001,-8.805516343016171E-001,-4.089726989483408E-001,-8.804563141160826E-001,
