% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap1_duto1_0_1plstc_S21,im:Cap1_duto1_0_1plstc_S21,re:Cap1_duto1_0_5plstc_S21,im:Cap1_duto1_0_5plstc_S21,re:Cap1_duto1_0_75plstc_S21,im:Cap1_duto1_0_75plstc_S21,re:Cap1_duto1_1plstc_S21,im:Cap1_duto1_1plstc_S21,
1.195000000000000E+009,-3.752149547410927E-001,-8.937600853335016E-001,-3.753377094697054E-001,-8.940154210141177E-001,-3.746091732202145E-001,-8.940240384021104E-001,-3.750986680132002E-001,-8.936820750730571E-001,-3.752584316387178E-001,-8.936115687522890E-001,
1.200000000000000E+009,-3.840911350545265E-001,-8.906849867166962E-001,-3.841653320926271E-001,-8.909536097926455E-001,-3.834860212778588E-001,-8.909650228108555E-001,-3.839607777908824E-001,-8.906348324271600E-001,-3.840688149242402E-001,-8.905465139465334E-001,
1.205000000000000E+009,-3.921241030548056E-001,-8.877050839970195E-001,-3.922231044486910E-001,-8.879814212784121E-001,-3.916541268418564E-001,-8.879162427097502E-001,-3.920285495689378E-001,-8.875872954028276E-001,-3.922180621528627E-001,-8.876195851020816E-001,
1.210000000000000E+009,-4.006639057053240E-001,-8.840232085683238E-001,-4.008433616481508E-001,-8.843232369206180E-001,-4.002246061445259E-001,-8.842659645856338E-001,-4.005753407023750E-001,-8.839506362719013E-001,-4.007595849914552E-001,-8.839347085914615E-001,
1.215000000000000E+009,-4.090581582250799E-001,-8.806863342861421E-001,-4.091825458392976E-001,-8.808919695172427E-001,-4.086270844610347E-001,-8.808898196350781E-001,-4.089675962724693E-001,-8.806020016333263E-001,-4.091563886165620E-001,-8.805249736862185E-001,
1.220000000000000E+009,-4.169316028363533E-001,-8.766890494697628E-001,-4.169518599753541E-001,-8.769225132370242E-001,-4.165587803665807E-001,-8.769397324570741E-001,-4.168349714647160E-001,-8.766188741693932E-001,-4.169893123016359E-001,-8.765623100166322E-001,
1.225000000000000E+009,-4.255607163883077E-001,-8.729532081940112E-001,-4.257160992142517E-001,-8.732502989997683E-001,-4.252232005892628E-001,-8.732710933761427E-001,-4.254647510991550E-001,-8.728656251721402E-001,-4.256545687599184E-001,-8.728990838432313E-001,
1.230000000000000E+009,-4.337111930871573E-001,-8.687331896008866E-001,-4.338160403874573E-001,-8.689677865971559E-001,-4.333647437174986E-001,-8.689454745523040E-001,-4.335892334673899E-001,-8.686378560815858E-001,-4.337452311630251E-001,-8.685698032684328E-001,
1.235000000000000E+009,-4.419779566164824E-001,-8.648072244339030E-001,-4.420728195389375E-001,-8.650350281333314E-001,-4.416473766389058E-001,-8.650036778833774E-001,-4.418459046382864E-001,-8.646702538907886E-001,-4.420111601600648E-001,-8.647271316909793E-001,
1.240000000000000E+009,-4.503492370700510E-001,-8.601566896499223E-001,-4.504314665297029E-001,-8.603677245212710E-001,-4.499914395909170E-001,-8.603590023948714E-001,-4.501747817446382E-001,-8.601165690331485E-001,-4.503791125736237E-001,-8.600560260467530E-001,
1.245000000000000E+009,-4.588313745313816E-001,-8.559951726485665E-001,-4.588705069834535E-001,-8.562229551898807E-001,-4.584935121923029E-001,-8.562587849744592E-001,-4.586493414385487E-001,-8.559393781953166E-001,-4.588162019824983E-001,-8.559006160621645E-001,
1.250000000000000E+009,-4.665208906245211E-001,-8.518964418336420E-001,-4.666239573692995E-001,-8.521702342218874E-001,-4.662397751182638E-001,-8.521468030672231E-001,-4.663582203296415E-001,-8.518380731346781E-001,-4.665626893501283E-001,-8.517754458351138E-001,
1.255000000000000E+009,-4.743456898188871E-001,-8.480598061929491E-001,-4.744781576783723E-001,-8.482910480974489E-001,-4.740999525710157E-001,-8.482995370618637E-001,-4.742371462229508E-001,-8.479929903007898E-001,-4.743985636348725E-001,-8.479452037353517E-001,
1.260000000000000E+009,-4.827792331232493E-001,-8.432288919543713E-001,-4.828630761210786E-001,-8.434632855041934E-001,-4.825950286895311E-001,-8.434795415852806E-001,-4.826637234842175E-001,-8.431385919796570E-001,-4.828125276355745E-001,-8.430980708274843E-001,
1.265000000000000E+009,-4.896797044512268E-001,-8.394798007447695E-001,-4.897689851819246E-001,-8.397507438431215E-001,-4.894609434433133E-001,-8.397379853076138E-001,-4.895327587292927E-001,-8.394758559801102E-001,-4.897594519081117E-001,-8.393371371879579E-001,
1.270000000000000E+009,-4.976865742924476E-001,-8.349028959965996E-001,-4.977529170647737E-001,-8.352175549992433E-001,-4.974852161536062E-001,-8.351883891030891E-001,-4.975298890863484E-001,-8.348756977398159E-001,-4.976566694831849E-001,-8.348034201354984E-001,
1.275000000000000E+009,-5.045220799303354E-001,-8.303961956330948E-001,-5.045872972338685E-001,-8.307389926573916E-001,-5.043254565143400E-001,-8.306880251655306E-001,-5.043895006694870E-001,-8.304307116723863E-001,-5.045293268470765E-001,-8.302903491592408E-001,
1.280000000000000E+009,-5.116677645168272E-001,-8.259265925124605E-001,-5.117347523722780E-001,-8.263041924885684E-001,-5.115295810974485E-001,-8.262574891016092E-001,-5.114772670616944E-001,-8.259734357801390E-001,-5.116459316329958E-001,-8.258727016143801E-001,
1.285000000000000E+009,-5.186825440938294E-001,-8.216717766559789E-001,-5.187930209966187E-001,-8.220799043045168E-001,-5.185639847262755E-001,-8.220145207003542E-001,-5.185459995108447E-001,-8.217633769886631E-001,-5.187338842887879E-001,-8.215824640960695E-001,
1.290000000000000E+009,-5.259162259975425E-001,-8.169574304634185E-001,-5.260116940671021E-001,-8.172683738827702E-001,-5.258032960558599E-001,-8.172850387857931E-001,-5.257944102145289E-001,-8.169920025680686E-001,-5.258876342926027E-001,-8.167865688438416E-001,
1.295000000000000E+009,-5.324397726830262E-001,-8.122679554238419E-001,-5.325330655392579E-001,-8.126660183335634E-001,-5.324158724611113E-001,-8.125686701165215E-001,-5.323432201734797E-001,-8.123020727611044E-001,-5.325262151641846E-001,-8.121665080261233E-001,
1.300000000000000E+009,-5.395560370547012E-001,-8.071778091067394E-001,-5.397069246283754E-001,-8.075136925422856E-001,-5.395170007501081E-001,-8.074391684368552E-001,-5.394653240854420E-001,-8.071465256981144E-001,-5.395682343101502E-001,-8.070308062820437E-001,
1.305000000000000E+009,-5.456402779530709E-001,-8.022524329495587E-001,-5.457960372286500E-001,-8.026566366683230E-001,-5.456754586119822E-001,-8.025668328337580E-001,-5.455877033060641E-001,-8.022948421811023E-001,-5.456775808753969E-001,-8.021760876197817E-001,
1.310000000000000E+009,-5.522079211901736E-001,-7.973457370633710E-001,-5.522687368010438E-001,-7.977085813750857E-001,-5.522260919783064E-001,-7.975864637693025E-001,-5.521393438007352E-001,-7.973782817289922E-001,-5.522873296241762E-001,-7.972130687713624E-001,
1.315000000000000E+009,-5.581399618358267E-001,-7.924043563241856E-001,-5.582271731782961E-001,-7.928682883920900E-001,-5.581232056094273E-001,-7.927287342641475E-001,-5.580476955077308E-001,-7.924607547931445E-001,-5.581832259445192E-001,-7.923489884757997E-001,
1.320000000000000E+009,-5.646488203880906E-001,-7.879365662436688E-001,-5.646960586477419E-001,-7.884367890164308E-001,-5.646506083135596E-001,-7.881851062641007E-001,-5.645306145574099E-001,-7.879684541763962E-001,-5.646635500068666E-001,-7.878325671081544E-001,
1.325000000000000E+009,-5.711617894423888E-001,-7.832723620451763E-001,-5.712442887476014E-001,-7.837169450692567E-001,-5.711499089187282E-001,-7.834643342863095E-001,-5.710605658757991E-001,-7.832914318304795E-001,-5.711744442977906E-001,-7.831460840187074E-001,
1.330000000000000E+009,-5.776296623404252E-001,-7.788171092233012E-001,-5.778809578463928E-001,-7.792448646106387E-001,-5.777275332032978E-001,-7.790169522743887E-001,-5.776009873329798E-001,-7.788380724015270E-001,-5.777377446823121E-001,-7.786840918197635E-001,
1.335000000000000E+009,-5.838730404172219E-001,-7.739621237238799E-001,-5.841155332797792E-001,-7.743698691555422E-001,-5.839015682381394E-001,-7.741365904151530E-001,-5.837746560143751E-001,-7.739455977637986E-001,-5.838829818115235E-001,-7.738050406761171E-001,
1.340000000000000E+009,-5.904842544528606E-001,-7.688911490237433E-001,-5.906666223988648E-001,-7.693248953406313E-001,-5.904557624685775E-001,-7.690975082335554E-001,-5.904130340106952E-001,-7.689568250556458E-001,-5.904522878608705E-001,-7.687523211898806E-001,
1.345000000000000E+009,-5.968729134148854E-001,-7.638640177112935E-001,-5.971174040288332E-001,-7.642776835943668E-001,-5.969487389931294E-001,-7.640570804384153E-001,-5.968483556983228E-001,-7.638927597559685E-001,-5.969594307937624E-001,-7.636856730690004E-001,
1.350000000000000E+009,-6.030421978955841E-001,-7.592724364472828E-001,-6.033554232492372E-001,-7.597140604648316E-001,-6.031598632639370E-001,-7.594302186863982E-001,-6.030377618599915E-001,-7.592956216139527E-001,-6.030809999580382E-001,-7.590966004753116E-001,
1.355000000000000E+009,-6.085785290440162E-001,-7.546767420740876E-001,-6.087973719972170E-001,-7.550376053198428E-001,-6.086920759038166E-001,-7.548221991944314E-001,-6.085876987820491E-001,-7.546878086567550E-001,-6.086393395996094E-001,-7.545000369911197E-001,
1.360000000000000E+009,-6.152433368953899E-001,-7.494519099589386E-001,-6.155468938238649E-001,-7.498603618450809E-001,-6.153323467917420E-001,-7.495869483511964E-001,-6.152167964374996E-001,-7.494213411163135E-001,-6.152278183517457E-001,-7.493551035842897E-001,
1.365000000000000E+009,-6.219576570450776E-001,-7.450240223504903E-001,-6.222413322569581E-001,-7.453469382926515E-001,-6.220599197229358E-001,-7.451313402903047E-001,-6.219260639077102E-001,-7.450240806499624E-001,-6.219342489700319E-001,-7.449085434799194E-001,
1.370000000000000E+009,-6.286097562865622E-001,-7.395351427476878E-001,-6.289301237597476E-001,-7.398360351881166E-001,-6.287079389828439E-001,-7.396798972079859E-001,-6.286072784437764E-001,-7.395522577939093E-001,-6.286397817497255E-001,-7.393760876541139E-001,
1.375000000000000E+009,-6.351965149958778E-001,-7.343278023206030E-001,-6.354595513031680E-001,-7.346377788193604E-001,-6.353162975493115E-001,-7.344272272418988E-001,-6.351723936716496E-001,-7.343585663836573E-001,-6.351822668800355E-001,-7.342144404678347E-001,
1.380000000000000E+009,-6.412943454204352E-001,-7.280784738196580E-001,-6.415990342771303E-001,-7.283865712977236E-001,-6.414209146348755E-001,-7.281645123559818E-001,-6.413135417527890E-001,-7.280808006846949E-001,-6.412663947601318E-001,-7.279392272033693E-001,
1.385000000000000E+009,-6.476441386160798E-001,-7.222608344163786E-001,-6.478721699271912E-001,-7.224881416975100E-001,-6.477416089952055E-001,-7.222912429195186E-001,-6.476139794121768E-001,-7.222380866001379E-001,-6.476272662391663E-001,-7.221023785743714E-001,
1.390000000000000E+009,-6.542787378551650E-001,-7.162122934466842E-001,-6.544646157129151E-001,-7.164455158278078E-001,-6.543263046206639E-001,-7.162835465525942E-001,-6.541825599097690E-001,-7.162220506040964E-001,-6.542110020332338E-001,-7.160576100807192E-001,
1.395000000000000E+009,-6.607136030302261E-001,-7.099448122585824E-001,-6.609675650600098E-001,-7.102721356993959E-001,-6.608393650427477E-001,-7.100133096810093E-001,-6.606662094415188E-001,-7.099568871938921E-001,-6.606503995666506E-001,-7.098518843345644E-001,
1.400000000000000E+009,-6.670453528772852E-001,-7.032788006983142E-001,-6.672868261697571E-001,-7.035659464954103E-001,-6.671515293135694E-001,-7.033417450575175E-001,-6.670174808825330E-001,-7.032828455374287E-001,-6.670843551445009E-001,-7.032068773002627E-001,
1.405000000000000E+009,-6.733263544130446E-001,-6.976404627081870E-001,-6.735508624854678E-001,-6.979172833394288E-001,-6.735104034735939E-001,-6.977418428166600E-001,-6.732742326511291E-001,-6.977200393318880E-001,-6.733309910430909E-001,-6.976057289848329E-001,
1.410000000000000E+009,-6.802472356470234E-001,-6.914125338698161E-001,-6.804857918556337E-001,-6.917320663890749E-001,-6.803296182381671E-001,-6.914418540328974E-001,-6.801605280669381E-001,-6.914971883615299E-001,-6.802544413452150E-001,-6.913415623245240E-001,
1.415000000000000E+009,-6.860737304685535E-001,-6.848755618383737E-001,-6.863996917313051E-001,-6.852524141972107E-001,-6.862957728723065E-001,-6.849686529617275E-001,-6.860793658916735E-001,-6.849374496160743E-001,-6.861860189437867E-001,-6.848679855346680E-001,
1.420000000000000E+009,-6.926980226907024E-001,-6.783272249758683E-001,-6.930469176497316E-001,-6.786466886066713E-001,-6.929078429952336E-001,-6.783025687544317E-001,-6.926562053666583E-001,-6.783451075249524E-001,-6.927820155105592E-001,-6.781920544853212E-001,
1.425000000000000E+009,-6.981908160043623E-001,-6.718432336838069E-001,-6.985518170124879E-001,-6.720827024456179E-001,-6.983660965542248E-001,-6.717562806543406E-001,-6.982098650132094E-001,-6.717818367685703E-001,-6.982547934875489E-001,-6.716760709075930E-001,
1.430000000000000E+009,-7.043959092350228E-001,-6.657217122614463E-001,-7.048172136471071E-001,-6.660144995376222E-001,-7.046635301257450E-001,-6.657458860736468E-001,-7.044573619130251E-001,-6.656841112970496E-001,-7.045192871208191E-001,-6.655794216117860E-001,
1.435000000000000E+009,-7.103507259513068E-001,-6.592291601120397E-001,-7.108006505420901E-001,-6.594766998726748E-001,-7.104738826243873E-001,-6.591792990748299E-001,-7.103733845988320E-001,-6.592008991142173E-001,-7.103757302551271E-001,-6.590867746696474E-001,
1.440000000000000E+009,-7.156683843439380E-001,-6.526087014254703E-001,-7.160511621114137E-001,-6.527904959574220E-001,-7.158851369226934E-001,-6.525185658510733E-001,-7.156604625899334E-001,-6.526001912296476E-001,-7.156167860260011E-001,-6.524341051139831E-001,
1.445000000000000E+009,-7.211707322366815E-001,-6.465224752551768E-001,-7.216011789777285E-001,-6.467905795795169E-001,-7.213558216338321E-001,-6.464542644647124E-001,-7.212163549995601E-001,-6.465220964988281E-001,-7.211770018043519E-001,-6.464071498718262E-001,
1.450000000000000E+009,-7.271071854581718E-001,-6.399361437844370E-001,-7.274354647341860E-001,-6.400935326337220E-001,-7.273442660911719E-001,-6.397755759611293E-001,-7.271056149320569E-001,-6.398970475981375E-001,-7.270954835357668E-001,-6.397484351692200E-001,
1.455000000000000E+009,-7.327019673411996E-001,-6.331800278334210E-001,-7.330513404285279E-001,-6.334118290768800E-001,-7.328394307624208E-001,-6.330362519760020E-001,-7.327152427037182E-001,-6.331914914277856E-001,-7.327131778678895E-001,-6.330789399528505E-001,
1.460000000000000E+009,-7.370853344229917E-001,-6.275351393689450E-001,-7.373637352356508E-001,-6.277428077657046E-001,-7.371579536003433E-001,-6.273191116362339E-001,-7.370912926526482E-001,-6.275203617667159E-001,-7.370858319473268E-001,-6.273423489761354E-001,
1.465000000000000E+009,-7.423555609573064E-001,-6.213898187688808E-001,-7.426706417293337E-001,-6.215636186756166E-001,-7.424429368386467E-001,-6.212254052901065E-001,-7.423488272053005E-001,-6.214037107218187E-001,-7.423201556892396E-001,-6.212058260307313E-001,
1.470000000000000E+009,-7.476267331552189E-001,-6.149614190331268E-001,-7.480447001519288E-001,-6.151956654933656E-001,-7.477584235793713E-001,-6.148462966623520E-001,-7.477539469214884E-001,-6.150531289921432E-001,-7.476524338569643E-001,-6.148282696342469E-001,
1.475000000000000E+009,-7.520042390474114E-001,-6.089602339386254E-001,-7.523836306088931E-001,-6.092656774355654E-001,-7.521104024686757E-001,-6.088681605206644E-001,-7.520332914158660E-001,-6.090185740484093E-001,-7.519947645301821E-001,-6.088585701828004E-001,
1.480000000000000E+009,-7.573059153914854E-001,-6.022312582750568E-001,-7.577598870482425E-001,-6.024712330289307E-001,-7.573677151505974E-001,-6.021174925436473E-001,-7.573977660878997E-001,-6.022497880617024E-001,-7.571544301605228E-001,-6.021117340545654E-001,
1.485000000000000E+009,-7.621541270216465E-001,-5.965050004375996E-001,-7.625588557837282E-001,-5.967619038222839E-001,-7.622481921054626E-001,-5.963342543448321E-001,-7.622411818912284E-001,-5.964799758606916E-001,-7.621624495010378E-001,-5.963596314849856E-001,
1.490000000000000E+009,-7.676230471966420E-001,-5.899440264466196E-001,-7.681240059982242E-001,-5.900892505091859E-001,-7.676527016958806E-001,-5.897685279866781E-001,-7.677294980269567E-001,-5.899158444154601E-001,-7.676107957496645E-001,-5.897843903541566E-001,
