% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap2_copo1_0_1plstc_S21,im:cap2_copo1_0_1plstc_S21,re:cap2_copo1_0_5plstc_S21,im:cap2_copo1_0_5plstc_S21,re:cap2_copo1_1plstc_S21,im:cap2_copo1_1plstc_S21,
1.425000000000000E+009,-7.028862549507775E-001,-6.646557502270005E-001,-7.024745284530367E-001,-6.658763527578910E-001,-7.021578396066588E-001,-6.653941009662302E-001,-7.028490861294350E-001,-6.646517211397172E-001,
1.430000000000000E+009,-7.087936989175090E-001,-6.585655359867544E-001,-7.084709635670354E-001,-6.597943644418379E-001,-7.080981083463198E-001,-6.594004069302164E-001,-7.088154051596561E-001,-6.585731727749261E-001,
1.435000000000000E+009,-7.145138974508921E-001,-6.520802714491930E-001,-7.140741058749164E-001,-6.532879849394473E-001,-7.137948246935160E-001,-6.529109599956947E-001,-7.145233007171224E-001,-6.520713446648179E-001,
1.440000000000000E+009,-7.195734751073442E-001,-6.455157098986513E-001,-7.192286217929387E-001,-6.467315573107482E-001,-7.188926383430573E-001,-6.462845306281194E-001,-7.196344196334272E-001,-6.454528130748649E-001,
1.445000000000000E+009,-7.248813648794314E-001,-6.394593760418713E-001,-7.245176263678395E-001,-6.407287084060045E-001,-7.241472442832987E-001,-6.402795749023440E-001,-7.249476729281135E-001,-6.394252559295555E-001,
1.450000000000000E+009,-7.306190711591357E-001,-6.328508322515825E-001,-7.301827429601023E-001,-6.341886480433977E-001,-7.298179791511406E-001,-6.336693956309710E-001,-7.305997690122142E-001,-6.328565119628754E-001,
1.455000000000000E+009,-7.358975263691069E-001,-6.262539709297563E-001,-7.356062297366709E-001,-6.275149700740436E-001,-7.352019832282580E-001,-6.271113520402254E-001,-7.359256511576757E-001,-6.261706251616108E-001,
1.460000000000000E+009,-7.400613967864308E-001,-6.207133224811351E-001,-7.397264599817359E-001,-6.220620539616837E-001,-7.393446938642140E-001,-6.216030663750676E-001,-7.400597433534111E-001,-6.206708133104426E-001,
1.465000000000000E+009,-7.451433252989550E-001,-6.147723815905466E-001,-7.448257232785158E-001,-6.161271106568358E-001,-7.444949293385502E-001,-6.156307469339041E-001,-7.451161270561991E-001,-6.147390960381951E-001,
1.470000000000000E+009,-7.503059071180391E-001,-6.086068826057829E-001,-7.500367385333457E-001,-6.099602734853357E-001,-7.496504467717206E-001,-6.094905493714731E-001,-7.503724301535488E-001,-6.085354748877463E-001,
1.475000000000000E+009,-7.545614772661090E-001,-6.028815180311086E-001,-7.542575804466885E-001,-6.042858261319259E-001,-7.538883266716147E-001,-6.037942554549490E-001,-7.544945577315606E-001,-6.028506905069856E-001,
1.480000000000000E+009,-7.597615797248842E-001,-5.962615464876079E-001,-7.595299336196181E-001,-5.976485117352053E-001,-7.591097563964792E-001,-5.971910483874998E-001,-7.598314803775753E-001,-5.961554671686719E-001,
1.485000000000000E+009,-7.646627019528823E-001,-5.907117485184702E-001,-7.644949659974921E-001,-5.921657786103820E-001,-7.639996405875538E-001,-5.916528216497676E-001,-7.646114388537417E-001,-5.906940998148578E-001,
1.490000000000000E+009,-7.702081673090143E-001,-5.843225550710480E-001,-7.701312045331914E-001,-5.857090132564284E-001,-7.696537675573303E-001,-5.851563775734165E-001,-7.702104622601368E-001,-5.842302744858574E-001,
1.495000000000000E+009,-7.750414112415158E-001,-5.775288467012041E-001,-7.749794050549674E-001,-5.788804437409004E-001,-7.745429286869374E-001,-5.783806927123750E-001,-7.751258875358962E-001,-5.774264638616153E-001,
1.500000000000000E+009,-7.805490628996339E-001,-5.709471296227446E-001,-7.804565869751807E-001,-5.723464232760276E-001,-7.799825625981552E-001,-5.719060233887063E-001,-7.804987290294876E-001,-5.709414651382886E-001,
1.505000000000000E+009,-7.850168601437756E-001,-5.644907944563731E-001,-7.849237495138072E-001,-5.658695752422740E-001,-7.844365071197076E-001,-5.654102416248350E-001,-7.850164524679598E-001,-5.644452104262708E-001,
1.510000000000000E+009,-7.897140567695806E-001,-5.581438131024996E-001,-7.896928373569281E-001,-5.595053238444259E-001,-7.891903163876324E-001,-5.590897971590882E-001,-7.897097564613345E-001,-5.580394295090896E-001,
1.515000000000000E+009,-7.949359956741734E-001,-5.512818648165390E-001,-7.949182801450561E-001,-5.526122436454451E-001,-7.944305938623681E-001,-5.522414462260632E-001,-7.949868752392491E-001,-5.512153972148418E-001,
1.520000000000000E+009,-7.997413143514226E-001,-5.447376666512152E-001,-7.996856759165284E-001,-5.460707101529692E-001,-7.991333783914764E-001,-5.457239657737558E-001,-7.997780656753721E-001,-5.446897873173828E-001,
1.525000000000000E+009,-8.041377761623135E-001,-5.382809219845185E-001,-8.040865508126340E-001,-5.395885537455154E-001,-8.035826256115143E-001,-5.392965769639075E-001,-8.041526034099565E-001,-5.382266301247108E-001,
1.530000000000000E+009,-8.083798132822608E-001,-5.312741034606979E-001,-8.083459647503860E-001,-5.326214585198543E-001,-8.078838522044923E-001,-5.323210761824707E-001,-8.083635897976828E-001,-5.312407885918427E-001,
