% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.210000000000000E+009,-4.240173190645479E-001,-8.827205294809266E-001,-4.234131709433544E-001,-8.827296475753232E-001,-4.235120713710785E-001,-8.827030062675476E-001,-4.238196241855622E-001,-8.827158038520815E-001,-4.240702975273133E-001,-8.826950125694276E-001,
1.215000000000000E+009,-4.320952818031800E-001,-8.792453339088442E-001,-4.314905686344496E-001,-8.792235500517931E-001,-4.315380454063416E-001,-8.791825771331787E-001,-4.318870500278474E-001,-8.792732316398623E-001,-4.321301410675050E-001,-8.792335510253908E-001,
1.220000000000000E+009,-4.400306177046388E-001,-8.752684763255129E-001,-4.393666096280847E-001,-8.753222594316552E-001,-4.394966363906860E-001,-8.753910064697266E-001,-4.397985312461854E-001,-8.752870370864869E-001,-4.400292115688325E-001,-8.752605921745302E-001,
1.225000000000000E+009,-4.479307084661409E-001,-8.714390288112551E-001,-4.472357199536702E-001,-8.714540827981473E-001,-4.474488198757172E-001,-8.714469671249390E-001,-4.476395954418184E-001,-8.714372929191592E-001,-4.479389362335206E-001,-8.713961282730104E-001,
1.230000000000000E+009,-4.562135777949525E-001,-8.671444165509645E-001,-4.554760763728524E-001,-8.671464315037977E-001,-4.557500481605530E-001,-8.672646284103394E-001,-4.558936860656739E-001,-8.671376602554324E-001,-4.561965394020082E-001,-8.671259174346926E-001,
1.235000000000000E+009,-4.641663293427308E-001,-8.627240065066592E-001,-4.633948721680914E-001,-8.627871013546841E-001,-4.635073542594910E-001,-8.628737330436707E-001,-4.638481602764131E-001,-8.627908459091188E-001,-4.642107406139375E-001,-8.627397519111635E-001,
1.240000000000000E+009,-4.722390353101381E-001,-8.581565522196292E-001,-4.713970141223739E-001,-8.582703944447911E-001,-4.715600907802582E-001,-8.582322597503662E-001,-4.718969228172303E-001,-8.582333335876468E-001,-4.722538640975953E-001,-8.581718501091005E-001,
1.245000000000000E+009,-4.803256373731385E-001,-8.539650781768008E-001,-4.795073382015004E-001,-8.541232007517513E-001,-4.795521199703217E-001,-8.541279435157776E-001,-4.799024686622621E-001,-8.540402323722842E-001,-4.803666450977326E-001,-8.539746663093568E-001,
1.250000000000000E+009,-4.879769633436250E-001,-8.493240888439089E-001,-4.871209013385062E-001,-8.494852031150620E-001,-4.873282909393311E-001,-8.495049476623535E-001,-4.875849915409089E-001,-8.493972060585023E-001,-4.879888634204865E-001,-8.493619719505311E-001,
1.255000000000000E+009,-4.955622878559693E-001,-8.450095502696230E-001,-4.946654069123440E-001,-8.451452065687015E-001,-4.949062168598175E-001,-8.451315760612488E-001,-4.951281893062592E-001,-8.450755625534059E-001,-4.955853552341462E-001,-8.450144100189211E-001,
1.260000000000000E+009,-5.030151078093325E-001,-8.404406192904116E-001,-5.021441006664706E-001,-8.406429390736133E-001,-5.022614598274231E-001,-8.405273556709290E-001,-5.026030525588990E-001,-8.405247415542605E-001,-5.030021606445313E-001,-8.404774590492250E-001,
1.265000000000000E+009,-5.101293076082155E-001,-8.357462974706729E-001,-5.092894263040393E-001,-8.359489265545343E-001,-5.094385147094727E-001,-8.358837962150574E-001,-5.096726058387757E-001,-8.357822214508058E-001,-5.100770764350893E-001,-8.357619948387147E-001,
1.270000000000000E+009,-5.167875927942445E-001,-8.314841172292300E-001,-5.159178347510995E-001,-8.316410163596011E-001,-5.160183906555176E-001,-8.317080140113831E-001,-5.163110626983644E-001,-8.315618396759035E-001,-5.168341664314270E-001,-8.314707037925724E-001,
1.275000000000000E+009,-5.233402077510988E-001,-8.267585449088076E-001,-5.225792619930575E-001,-8.268646686815999E-001,-5.225386023521423E-001,-8.268112540245056E-001,-5.229356115913392E-001,-8.268118231773378E-001,-5.233223690986634E-001,-8.267468313217166E-001,
1.280000000000000E+009,-5.298643716114869E-001,-8.223991523128970E-001,-5.291552146258027E-001,-8.225674131976505E-001,-5.293307304382324E-001,-8.226392865180969E-001,-5.295029845046997E-001,-8.224573422431948E-001,-5.299046283721924E-001,-8.224046869277956E-001,
1.285000000000000E+009,-5.360927713814515E-001,-8.180479215407045E-001,-5.352953827378533E-001,-8.181990418313820E-001,-5.353597402572632E-001,-8.182581663131714E-001,-5.356855195617677E-001,-8.180860354232791E-001,-5.361458107948305E-001,-8.180125068664552E-001,
1.290000000000000E+009,-5.428105390610719E-001,-8.132633312413882E-001,-5.420297359204095E-001,-8.134374544149354E-001,-5.420746803283691E-001,-8.133919835090637E-001,-5.423271945381165E-001,-8.133990001106264E-001,-5.427296777725221E-001,-8.132625683784487E-001,
1.295000000000000E+009,-5.491257837159120E-001,-8.084879017681461E-001,-5.484161700223824E-001,-8.087026411474689E-001,-5.484127998352051E-001,-8.087615370750427E-001,-5.487215749740602E-001,-8.086439056587220E-001,-5.491252388954162E-001,-8.084914143562318E-001,
1.300000000000000E+009,-5.550031372059754E-001,-8.036828538327273E-001,-5.542629430078340E-001,-8.038880711767658E-001,-5.546287298202515E-001,-8.039289712905884E-001,-5.546017203712463E-001,-8.037295531654360E-001,-5.549973546981812E-001,-8.036676095962526E-001,
1.305000000000000E+009,-5.611570977836977E-001,-7.989345385144717E-001,-5.604011282485205E-001,-7.990884135936224E-001,-5.606752038002014E-001,-7.992118000984192E-001,-5.606946448898317E-001,-7.990036323356631E-001,-5.611705742836000E-001,-7.988979164123538E-001,
1.310000000000000E+009,-5.669795622963503E-001,-7.942813310591006E-001,-5.662508760830710E-001,-7.944587252568007E-001,-5.665321946144104E-001,-7.944229841232300E-001,-5.666239299964906E-001,-7.944216258049014E-001,-5.669585708618166E-001,-7.942737806320193E-001,
1.315000000000000E+009,-5.729345223551514E-001,-7.898467881653261E-001,-5.722725563429347E-001,-7.900984997819209E-001,-5.724911689758301E-001,-7.899444103240967E-001,-5.725935222625732E-001,-7.900078882408144E-001,-5.729651482582093E-001,-7.898518697738649E-001,
1.320000000000000E+009,-5.792277128152039E-001,-7.854648696563784E-001,-5.786087965083666E-001,-7.857089415701506E-001,-5.787258148193359E-001,-7.856121063232422E-001,-5.788498897171022E-001,-7.856568385696414E-001,-5.792260058403015E-001,-7.854640656471252E-001,
1.325000000000000E+009,-5.855566917383425E-001,-7.810718294128237E-001,-5.849946450828998E-001,-7.813310814927945E-001,-5.850899219512940E-001,-7.811713814735413E-001,-5.852625797271730E-001,-7.812404051971438E-001,-5.855487070083618E-001,-7.810912925720217E-001,
1.330000000000000E+009,-5.923658380829835E-001,-7.764729192493105E-001,-5.918120174836150E-001,-7.766546936504263E-001,-5.919938087463379E-001,-7.766557931900024E-001,-5.920659044075013E-001,-7.766461360931399E-001,-5.923724075317383E-001,-7.764787499427798E-001,
1.335000000000000E+009,-5.984645146411928E-001,-7.716229691842593E-001,-5.978754539694746E-001,-7.717528304726787E-001,-5.980386734008789E-001,-7.718185782432556E-001,-5.981641286849977E-001,-7.717233057975771E-001,-5.984819319725038E-001,-7.716344565391543E-001,
1.340000000000000E+009,-6.047785067194094E-001,-7.667610968254275E-001,-6.042027355182322E-001,-7.669794630356800E-001,-6.044054031372070E-001,-7.668221592903137E-001,-6.045759678649905E-001,-7.668320019721986E-001,-6.047744367599488E-001,-7.667998950958254E-001,
1.345000000000000E+009,-6.108529999819399E-001,-7.617551625512697E-001,-6.103198884704236E-001,-7.619507114941054E-001,-6.105562448501587E-001,-7.618884444236755E-001,-6.105826994514466E-001,-7.618629995918276E-001,-6.108815594673158E-001,-7.617965364456178E-001,
1.350000000000000E+009,-6.168943633833497E-001,-7.566425794430910E-001,-6.163560359427394E-001,-7.568730638904822E-001,-6.165360808372498E-001,-7.566884756088257E-001,-6.166483173179628E-001,-7.567535684394839E-001,-6.168842213630676E-001,-7.566544209480287E-001,
1.355000000000000E+009,-6.229975616180848E-001,-7.516633065966373E-001,-6.225380998173111E-001,-7.518510192492764E-001,-6.225005984306335E-001,-7.517490386962891E-001,-6.227956551361085E-001,-7.517348512840272E-001,-6.229247109413149E-001,-7.516551168441775E-001,
1.360000000000000E+009,-6.294257961332156E-001,-7.466507441871034E-001,-6.289941528849292E-001,-7.468349286621185E-001,-6.290666460990906E-001,-7.468335628509522E-001,-6.292710996818544E-001,-7.467424859237672E-001,-6.294191213607789E-001,-7.467008414268495E-001,
1.365000000000000E+009,-6.356041752852479E-001,-7.416216248402652E-001,-6.351386390038637E-001,-7.417475357848136E-001,-6.352015733718872E-001,-7.416963577270508E-001,-6.354730073356629E-001,-7.416530309104921E-001,-6.356440577507020E-001,-7.416502284049990E-001,
1.370000000000000E+009,-6.423295384756105E-001,-7.363688584378052E-001,-6.419037225657996E-001,-7.364852668359623E-001,-6.419903039932251E-001,-7.367140650749207E-001,-6.420906378555300E-001,-7.364809764480593E-001,-6.423540963172915E-001,-7.363439154624940E-001,
1.375000000000000E+009,-6.485130452640504E-001,-7.308480944500123E-001,-6.481103944285286E-001,-7.310636158263744E-001,-6.482374668121338E-001,-7.310896515846252E-001,-6.482665109443666E-001,-7.309795896339418E-001,-6.484519931793215E-001,-7.308827176094056E-001,
1.380000000000000E+009,-6.550235584343324E-001,-7.251543606487001E-001,-6.545496780401544E-001,-7.253070829200229E-001,-6.546766161918640E-001,-7.253750562667847E-001,-6.548207174301147E-001,-7.252662194061280E-001,-6.550122939109803E-001,-7.251395581245423E-001,
1.385000000000000E+009,-6.614122017201295E-001,-7.188186083381166E-001,-6.609620313446858E-001,-7.189626841177341E-001,-6.611257791519165E-001,-7.190045714378357E-001,-6.612193335342409E-001,-7.188622640419007E-001,-6.614364629745484E-001,-7.187740494728090E-001,
1.390000000000000E+009,-6.676961063040040E-001,-7.125486329210207E-001,-6.672097179190012E-001,-7.127530761498810E-001,-6.672632694244385E-001,-7.128236293792725E-001,-6.674681402397157E-001,-7.126917869758608E-001,-6.675961363792421E-001,-7.125364594459536E-001,
1.395000000000000E+009,-6.739783638829470E-001,-7.063352412468018E-001,-6.735153000321605E-001,-7.065514186934048E-001,-6.735851764678955E-001,-7.065811753273010E-001,-6.737098430061341E-001,-7.064230668449403E-001,-6.739644376754762E-001,-7.063116723060608E-001,
1.400000000000000E+009,-6.803139971065189E-001,-6.999181647388917E-001,-6.797741408267689E-001,-7.003258057601902E-001,-6.799822449684143E-001,-7.001970410346985E-001,-6.800078553009035E-001,-7.001252533149720E-001,-6.803133790016176E-001,-6.999802870750428E-001,
