% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.495000000000000E+009,-7.851261793338508E-001,-5.786849001447519E-001,-7.846814378658772E-001,-5.810388347697796E-001,-7.848260726963848E-001,-5.793469882074133E-001,-7.852143669128420E-001,-5.787820601463318E-001,
1.500000000000000E+009,-7.901499011919213E-001,-5.722328170383899E-001,-7.897600873248216E-001,-5.744887535086237E-001,-7.899017716847206E-001,-5.728198226582517E-001,-7.901978492736816E-001,-5.722320818901063E-001,
1.505000000000000E+009,-7.951585115371260E-001,-5.657681787982644E-001,-7.947178327583591E-001,-5.680731328220269E-001,-7.948654330831861E-001,-5.664042277100568E-001,-7.952233219146729E-001,-5.658183765411378E-001,
1.510000000000000E+009,-8.001809598684376E-001,-5.591424629831097E-001,-7.998080138881392E-001,-5.614340359601676E-001,-7.999430412965835E-001,-5.598152423432530E-001,-8.002178239822388E-001,-5.591788029670716E-001,
1.515000000000000E+009,-8.048399257421192E-001,-5.524752253331806E-001,-8.044732692043198E-001,-5.547794735657092E-001,-8.045701955368630E-001,-5.531787040017904E-001,-8.048652577400208E-001,-5.525581550598145E-001,
1.520000000000000E+009,-8.097104575342105E-001,-5.456277247509807E-001,-8.093798612696727E-001,-5.481233409467965E-001,-8.093847935570512E-001,-5.464321883106080E-001,-8.097358083724976E-001,-5.458028912544251E-001,
1.525000000000000E+009,-8.140036426809442E-001,-5.391192661729556E-001,-8.137116137324041E-001,-5.416294640919952E-001,-8.137528690570093E-001,-5.399021207553633E-001,-8.139794158935547E-001,-5.392526483535767E-001,
1.530000000000000E+009,-8.181595484288647E-001,-5.320739524393645E-001,-8.179023536057506E-001,-5.345951096735205E-001,-8.180007578602959E-001,-5.328824180869040E-001,-8.182483983039858E-001,-5.321293902397156E-001,
1.535000000000000E+009,-8.221936033838561E-001,-5.252846858571260E-001,-8.219646693254898E-001,-5.279167703628266E-001,-8.220212909578110E-001,-5.261629397213543E-001,-8.222808146476748E-001,-5.253158926963807E-001,
1.540000000000000E+009,-8.259906604824119E-001,-5.182487350692862E-001,-8.258064981434694E-001,-5.210445523510252E-001,-8.257303131501376E-001,-5.191477033095728E-001,-8.260037612915041E-001,-5.183276104927063E-001,
1.545000000000000E+009,-8.296609612175929E-001,-5.111613945472797E-001,-8.296055205988773E-001,-5.141335195723586E-001,-8.295198347019883E-001,-5.121631621533377E-001,-8.296900749206545E-001,-5.112326455116272E-001,
1.550000000000000E+009,-8.334617866073195E-001,-5.040698066988308E-001,-8.334419728175997E-001,-5.071786269389274E-001,-8.334404308469007E-001,-5.051705577278881E-001,-8.335617780685427E-001,-5.041327619552614E-001,
1.555000000000000E+009,-8.372390010031916E-001,-4.970821153452675E-001,-8.373711809562627E-001,-5.004392874491033E-001,-8.373213443545513E-001,-4.983081184709887E-001,-8.373151874542237E-001,-4.970916903018952E-001,
1.560000000000000E+009,-8.410840708621445E-001,-4.897818184421734E-001,-8.414250035992331E-001,-4.934441487593962E-001,-8.413145338524395E-001,-4.910912662568064E-001,-8.411087036132814E-001,-4.898029506206513E-001,
1.565000000000000E+009,-8.441589746703636E-001,-4.822482541738737E-001,-8.449311667694137E-001,-4.860785425140763E-001,-8.447346640861555E-001,-4.835994506532381E-001,-8.442067813873291E-001,-4.823134016990662E-001,
1.570000000000000E+009,-8.472080115638048E-001,-4.748973220672341E-001,-8.485454729091804E-001,-4.789297490437043E-001,-8.480390381089278E-001,-4.763034741882929E-001,-8.472661590576174E-001,-4.749362778663636E-001,
1.575000000000000E+009,-8.500078834647715E-001,-4.675758456777155E-001,-8.521878252317594E-001,-4.716275518892837E-001,-8.515014957686111E-001,-4.687450675351856E-001,-8.500607657432556E-001,-4.676110601425172E-001,
1.580000000000000E+009,-8.525551492635423E-001,-4.606613123784984E-001,-8.555126508382970E-001,-4.644459277557481E-001,-8.545624360904141E-001,-4.612871983613258E-001,-8.526423358917238E-001,-4.606737875938416E-001,
1.585000000000000E+009,-8.552130500507076E-001,-4.545035079710763E-001,-8.587630896431343E-001,-4.576214670967246E-001,-8.574960270703189E-001,-4.542490739416146E-001,-8.552673935890199E-001,-4.545634067058564E-001,
1.590000000000000E+009,-8.581646138315231E-001,-4.485543448825153E-001,-8.621632267219528E-001,-4.507174426469434E-001,-8.602483201001241E-001,-4.472986560232450E-001,-8.582474541664125E-001,-4.486038458347321E-001,
1.595000000000000E+009,-8.615916196159816E-001,-4.426389907064350E-001,-8.655919403902841E-001,-4.438772242065945E-001,-8.628453560539937E-001,-4.405468550065245E-001,-8.616377997398377E-001,-4.427296257019043E-001,
1.600000000000000E+009,-8.653381695998058E-001,-4.368501618296513E-001,-8.689948380134244E-001,-4.373786698145702E-001,-8.654542677339142E-001,-4.344087798752628E-001,-8.654328894615175E-001,-4.368907248973847E-001,
1.605000000000000E+009,-8.692038159763476E-001,-4.303360250121692E-001,-8.723777414406189E-001,-4.305313938287369E-001,-8.681983874840049E-001,-4.282472916661947E-001,-8.691873574256899E-001,-4.303700935840607E-001,
1.610000000000000E+009,-8.730404975906737E-001,-4.235564204203636E-001,-8.759729586736740E-001,-4.234497757476775E-001,-8.714752662075698E-001,-4.222133825570008E-001,-8.732238459587098E-001,-4.236174750328065E-001,
1.615000000000000E+009,-8.765838078609509E-001,-4.170503352988056E-001,-8.791977944311558E-001,-4.167312124659395E-001,-8.747461059559083E-001,-4.163831577395625E-001,-8.766377615928651E-001,-4.170724630355835E-001,
