% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,
1.335000000000000E+009,-5.984914621449815E-001,-7.717900518736092E-001,-5.981188605146863E-001,-7.729863214292063E-001,-5.985598438086756E-001,-7.722496810488218E-001,-5.984586970756800E-001,-7.717168039123388E-001,
1.340000000000000E+009,-6.047570153051610E-001,-7.669907293359569E-001,-6.044344694068937E-001,-7.681620089400844E-001,-6.048136544156401E-001,-7.673828803533056E-001,-6.047449360765889E-001,-7.669450858366921E-001,
1.345000000000000E+009,-6.108210998988979E-001,-7.619846920962766E-001,-6.105795822773377E-001,-7.631799193650874E-001,-6.110125159777284E-001,-7.624221370266738E-001,-6.108638203921339E-001,-7.619517371174961E-001,
1.350000000000000E+009,-6.168734786704853E-001,-7.568697478179488E-001,-6.165694959568399E-001,-7.580865033331210E-001,-6.169870286528263E-001,-7.572976986200073E-001,-6.168868401520652E-001,-7.568969805116195E-001,
1.355000000000000E+009,-6.229835473261872E-001,-7.518762372538328E-001,-6.226863795207783E-001,-7.530326999735977E-001,-6.231225520472079E-001,-7.523033167905828E-001,-6.229239141824868E-001,-7.518671389622516E-001,
1.360000000000000E+009,-6.293586294526062E-001,-7.469028231706868E-001,-6.291195970402885E-001,-7.480359157547989E-001,-6.294813880749997E-001,-7.473225330000544E-001,-6.293663776181938E-001,-7.469579056825945E-001,
1.365000000000000E+009,-6.355658660768034E-001,-7.418506871419093E-001,-6.353876128308602E-001,-7.429728991270166E-001,-6.357560728265680E-001,-7.422704155692824E-001,-6.356334213730237E-001,-7.418055249038374E-001,
1.370000000000000E+009,-6.422802087372461E-001,-7.366164222808611E-001,-6.420196817634883E-001,-7.377350968835316E-001,-6.423736105698331E-001,-7.369979583971018E-001,-6.422399148421739E-001,-7.366037093684895E-001,
1.375000000000000E+009,-6.484259818568914E-001,-7.310916159442039E-001,-6.481684943303485E-001,-7.322443753615201E-001,-6.484806884792580E-001,-7.314752321585074E-001,-6.484148753474959E-001,-7.310536915190321E-001,
1.380000000000000E+009,-6.549196073987698E-001,-7.253647215442973E-001,-6.546983667324098E-001,-7.266167524731950E-001,-6.550571242722478E-001,-7.257889080802540E-001,-6.548794675951770E-001,-7.253682823757800E-001,
1.385000000000000E+009,-6.613471731935625E-001,-7.190119023821295E-001,-6.611680631590933E-001,-7.202433313966989E-001,-6.614853628741784E-001,-7.194797494894445E-001,-6.612930439434263E-001,-7.190268252789672E-001,
1.390000000000000E+009,-6.675303329226656E-001,-7.128243814574723E-001,-6.673584231957060E-001,-7.140705176299482E-001,-6.677622043177727E-001,-7.132718451307664E-001,-6.675167468790267E-001,-7.127970131312873E-001,
1.395000000000000E+009,-6.739237304562228E-001,-7.065531871372210E-001,-6.736688377904155E-001,-7.078721537946132E-001,-6.740816529626766E-001,-7.070034037253840E-001,-6.739387860159330E-001,-7.065666526091751E-001,
1.400000000000000E+009,-6.802578322125441E-001,-7.001898435743674E-001,-6.799738011964878E-001,-7.015575188561901E-001,-6.803524118719874E-001,-7.006677251128661E-001,-6.801662374586158E-001,-7.002053917203072E-001,
1.405000000000000E+009,-6.865316791528564E-001,-6.935668655992109E-001,-6.861915964285882E-001,-6.949901625566028E-001,-6.866581189838700E-001,-6.940752093289452E-001,-6.865296340868254E-001,-6.935340577867738E-001,
1.410000000000000E+009,-6.928669196319627E-001,-6.871829604069420E-001,-6.925517392022960E-001,-6.886408165283109E-001,-6.930069436414701E-001,-6.877004899277565E-001,-6.929408417805998E-001,-6.871682419340031E-001,
1.415000000000000E+009,-6.990091817930345E-001,-6.808884651341327E-001,-6.986868351050107E-001,-6.823711753468790E-001,-6.990877729303485E-001,-6.814016534290703E-001,-6.990057335384410E-001,-6.808749925955898E-001,
1.420000000000000E+009,-7.049445150473748E-001,-6.744160131061112E-001,-7.045758046911492E-001,-6.759213496832240E-001,-7.049352746077067E-001,-6.750084916901520E-001,-7.049996015797791E-001,-6.744817168366155E-001,
1.425000000000000E+009,-7.110995252701672E-001,-6.679884009835160E-001,-7.107435601986660E-001,-6.694822806139337E-001,-7.111309079115580E-001,-6.684889475836030E-001,-7.111182727184661E-001,-6.679702224042283E-001,
