% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.225000000000000E+009,-4.274966479409432E-001,-8.786076736312359E-001,-4.473862295084164E-001,-8.727288862445696E-001,-4.479826187922852E-001,-8.715559939853705E-001,-4.483814668655396E-001,-8.712775492668152E-001,
1.230000000000000E+009,-4.364772780488914E-001,-8.742887474395547E-001,-4.556634059523139E-001,-8.684352099741974E-001,-4.562800345166614E-001,-8.672782211459877E-001,-4.567042374610901E-001,-8.670519661903382E-001,
1.235000000000000E+009,-4.451408703752606E-001,-8.699402848806118E-001,-4.636808369967873E-001,-8.641023840890829E-001,-4.643132704019729E-001,-8.628861208670465E-001,-4.647041642665864E-001,-8.627074885368349E-001,
1.240000000000000E+009,-4.538775123446455E-001,-8.652953120561476E-001,-4.716828891790886E-001,-8.596462563996433E-001,-4.723487724789396E-001,-8.583761763732301E-001,-4.727587234973908E-001,-8.581708145141603E-001,
1.245000000000000E+009,-4.625330479257054E-001,-8.611484683255085E-001,-4.797682315741027E-001,-8.554534059952099E-001,-4.805023047025675E-001,-8.541873380881382E-001,-4.808861994743348E-001,-8.539947009086611E-001,
1.250000000000000E+009,-4.707700164280631E-001,-8.564480512991042E-001,-4.874039980086274E-001,-8.507521438488843E-001,-4.881733736885016E-001,-8.495458593042230E-001,-4.885593307018281E-001,-8.492930316925049E-001,
1.255000000000000E+009,-4.788829495681611E-001,-8.521331577476943E-001,-4.950005509484244E-001,-8.464655265906738E-001,-4.957878102066209E-001,-8.451970417324238E-001,-4.961354970932008E-001,-8.449585151672363E-001,
1.260000000000000E+009,-4.868187868043560E-001,-8.475207418915880E-001,-5.025267946065104E-001,-8.419456590995854E-001,-5.032616433084687E-001,-8.406766532221655E-001,-5.036528801918030E-001,-8.404633378982546E-001,
1.265000000000000E+009,-4.943580359176555E-001,-8.427491222214190E-001,-5.096714527545345E-001,-8.371941975559081E-001,-5.103562576196196E-001,-8.359560501310932E-001,-5.106862282752991E-001,-8.356954503059388E-001,
1.270000000000000E+009,-5.014424431540338E-001,-8.384864371202111E-001,-5.162449060683871E-001,-8.328558890540098E-001,-5.169869760666288E-001,-8.315969140310017E-001,-5.173176145553589E-001,-8.314168190956117E-001,
1.275000000000000E+009,-5.084290512097647E-001,-8.337744002791278E-001,-5.229051015903057E-001,-8.282223215132283E-001,-5.235164752804711E-001,-8.268737707568260E-001,-5.239301776885986E-001,-8.266247749328615E-001,
1.280000000000000E+009,-5.152756955742670E-001,-8.293714898020441E-001,-5.294188040989417E-001,-8.237836372851600E-001,-5.300196495727713E-001,-8.225532910186169E-001,-5.304151797294617E-001,-8.222837162017824E-001,
1.285000000000000E+009,-5.218489916990727E-001,-8.250032620198674E-001,-5.356397352634459E-001,-8.194502635762491E-001,-5.363228918376782E-001,-8.181646580576512E-001,-5.366282224655152E-001,-8.179556035995486E-001,
1.290000000000000E+009,-5.288410409304675E-001,-8.203472270205665E-001,-5.422997317328042E-001,-8.147221225554924E-001,-5.429207146006111E-001,-8.134484184224015E-001,-5.433558988571168E-001,-8.132021760940553E-001,
