% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap1_p1_0_1plstc_S21,im:cap1_p1_0_1plstc_S21,re:cap1_p1_0_5plstc_S21,im:cap1_p1_0_5plstc_S21,re:cap1_p1_0_75_plstc_S21,im:cap1_p1_0_75_plstc_S21,re:cap1_p1_1_plstc_S21,im:cap1_p1_1_plstc_S21,
1.405000000000000E+009,-6.828389655402297E-001,-6.897619888645570E-001,-6.866042757151665E-001,-6.934209017962958E-001,-6.856219076527272E-001,-6.925204185034735E-001,-6.804304480382386E-001,-6.887071113435610E-001,-6.827995953559877E-001,-6.897756085395814E-001,
1.410000000000000E+009,-6.892854580187386E-001,-6.833991224753155E-001,-6.929946718273938E-001,-6.870299109338127E-001,-6.919999252253635E-001,-6.862024908420995E-001,-6.868507530284304E-001,-6.822949078814637E-001,-6.892422585487367E-001,-6.833824214935305E-001,
1.415000000000000E+009,-6.954137338446941E-001,-6.770591254024365E-001,-6.990959197361859E-001,-6.807033294373747E-001,-6.981342472856503E-001,-6.798802650273037E-001,-6.930018972764405E-001,-6.760109285054994E-001,-6.953110504150392E-001,-6.770448551177979E-001,
1.420000000000000E+009,-7.014006984796768E-001,-6.705931076999234E-001,-7.050632674219074E-001,-6.743268113809874E-001,-7.040796571229775E-001,-6.733802390636887E-001,-6.990019767421694E-001,-6.694909545589479E-001,-7.013030219078065E-001,-6.705770163536071E-001,
1.425000000000000E+009,-7.075460467271378E-001,-6.639927267858756E-001,-7.112188468837406E-001,-6.677653518568709E-001,-7.102616929798266E-001,-6.668637094492502E-001,-7.052205779796448E-001,-6.628947376151491E-001,-7.075386385917664E-001,-6.639928689002992E-001,
1.430000000000000E+009,-7.130459909774990E-001,-6.577095870328598E-001,-7.166079496531933E-001,-6.615291816625591E-001,-7.157431510019980E-001,-6.606092071547470E-001,-7.106351890332338E-001,-6.566979899865053E-001,-7.129923472404481E-001,-6.577276177406313E-001,
1.435000000000000E+009,-7.184417445243494E-001,-6.508165907080526E-001,-7.220211316351443E-001,-6.546971451489597E-001,-7.211186982284400E-001,-6.537952756085865E-001,-7.160251429559450E-001,-6.497641303467532E-001,-7.183620672225952E-001,-6.508028001785280E-001,
1.440000000000000E+009,-7.240596734547592E-001,-6.448060300654576E-001,-7.276678288557713E-001,-6.488100127335501E-001,-7.267446430284935E-001,-6.478147270030008E-001,-7.216642277670229E-001,-6.436854378426760E-001,-7.239364900588989E-001,-6.447570052146914E-001,
1.445000000000000E+009,-7.295131881618689E-001,-6.384978572467499E-001,-7.332755313726921E-001,-6.425603964872100E-001,-7.323275869785394E-001,-6.415614385865576E-001,-7.271105674626833E-001,-6.372830828500001E-001,-7.294131584167481E-001,-6.384785780906679E-001,
1.450000000000000E+009,-7.351714657404078E-001,-6.321338345788885E-001,-7.389979139231653E-001,-6.362668255689465E-001,-7.380912559649394E-001,-6.352040097600423E-001,-7.327476226551454E-001,-6.309150574558962E-001,-7.351387200355530E-001,-6.321304574012758E-001,
