% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1diverso_S21,im:cap1_copo2_0_1diverso_S21,re:cap1_copo2_0_1diverso_tam_S21,im:cap1_copo2_0_1diverso_tam_S21,re:cap1_copo2_0_1azul_S21,im:cap1_copo2_0_1azul_S21,
1.210000000000000E+009,-4.189701477354867E-001,-8.769765382097995E-001,-4.192346794050007E-001,-8.757467769985811E-001,-4.196427973604424E-001,-8.766662556515800E-001,-4.189141513240012E-001,-8.769767580424810E-001,
1.215000000000000E+009,-4.266272568735899E-001,-8.734084117101634E-001,-4.268685035803132E-001,-8.722697869906443E-001,-4.273336969217586E-001,-8.730718478769397E-001,-4.266066819911223E-001,-8.734368690116937E-001,
1.220000000000000E+009,-4.338435549941155E-001,-8.694019186345491E-001,-4.340827563230474E-001,-8.682405529358280E-001,-4.345726723983178E-001,-8.690184696205918E-001,-4.338626240149119E-001,-8.694307084329445E-001,
1.225000000000000E+009,-4.420039710068517E-001,-8.655888256163545E-001,-4.421499121399904E-001,-8.644698419696164E-001,-4.426844558810440E-001,-8.652211265141581E-001,-4.420023788309535E-001,-8.656675491295268E-001,
1.230000000000000E+009,-4.495460010052474E-001,-8.612737272971280E-001,-4.497451551665798E-001,-8.601710613437128E-001,-4.502568576618967E-001,-8.608387553704684E-001,-4.495642470019213E-001,-8.612407500201147E-001,
1.235000000000000E+009,-4.573648283935618E-001,-8.572470931491715E-001,-4.574307244667601E-001,-8.561911411842388E-001,-4.579457195506048E-001,-8.568426570893346E-001,-4.572832517020040E-001,-8.572585218402813E-001,
1.240000000000000E+009,-4.652118947480098E-001,-8.525057149341102E-001,-4.653053994230919E-001,-8.515099787904114E-001,-4.658658494460004E-001,-8.521300752741812E-001,-4.651660121592718E-001,-8.526131827281782E-001,
1.245000000000000E+009,-4.731994980078808E-001,-8.483167305224907E-001,-4.732995820704332E-001,-8.473571124701964E-001,-4.739245417950266E-001,-8.479134427566493E-001,-4.731833309887256E-001,-8.483562258747607E-001,
1.250000000000000E+009,-4.805444639228791E-001,-8.441153793120041E-001,-4.806171396643546E-001,-8.431996181362227E-001,-4.811656981073278E-001,-8.436968663784761E-001,-4.805075755102790E-001,-8.441682539987414E-001,
1.255000000000000E+009,-4.879090077097313E-001,-8.401719132985327E-001,-4.880569229774955E-001,-8.393306179120311E-001,-4.885952886611354E-001,-8.397881887944578E-001,-4.879782274976592E-001,-8.401984072093626E-001,
